,id,family,genus,species,content,filename,image_height,image_width
39,100631,Orchidaceae,Ophrys,Ophrys fuciflora (F.W.Schmidt) Moench,Flower,100631.jpg,800,624
40,100643,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower,100643.jpg,531,800
41,10065,Scrophulariaceae,Verbascum,Verbascum blattaria L.,Flower,10065.jpg,600,800
42,100676,Campanulaceae,Campanula,Campanula rapunculus L.,Flower,100676.jpg,664,800
43,100679,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Entire,100679.jpg,800,600
46,100700,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Entire,100700.jpg,800,600
47,100704,Scrophulariaceae,Verbascum,Verbascum lychnitis L.,Flower,100704.jpg,548,800
48,10078,Orchidaceae,Ophrys,Ophrys insectifera L.,Flower,10078.jpg,800,599
49,100786,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,100786.jpg,533,800
50,100815,Geraniaceae,Geranium,Geranium pratense L.,Flower,100815.jpg,800,800
54,100869,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Entire,100869.jpg,532,800
55,100874,Geraniaceae,Geranium,Geranium nodosum L.,Flower,100874.jpg,587,800
56,100902,Geraniaceae,Geranium,Geranium robertianum L.,Flower,100902.jpg,751,800
57,100906,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower,100906.jpg,800,534
58,100921,Campanulaceae,Campanula,Campanula scheuchzeri Vill.,Entire,100921.jpg,451,800
59,100931,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.,Flower,100931.jpg,600,800
61,100945,Oleaceae,Jasminum,Jasminum fruticans L.,Flower,100945.jpg,530,800
62,100964,Amaryllidaceae,Galanthus,Galanthus nivalis L.,Flower,100964.jpg,800,600
63,101044,Rosaceae,Rosa,Rosa pendulina L.,Entire,101044.jpg,800,600
65,10105,Rosaceae,Rosa,Rosa canina L.,Flower,10105.jpg,800,800
67,101092,Campanulaceae,Campanula,Campanula rotundifolia L.,Entire,101092.jpg,600,800
68,101143,Ericaceae,Rhododendron,Rhododendron ferrugineum L.,Entire,101143.jpg,531,800
69,101160,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Entire,101160.jpg,800,600
70,101244,Hydrangeaceae,Hydrangea,Hydrangea macrophylla (Thunb.) Ser.,Entire,101244.jpg,600,800
71,101275,Hydrangeaceae,Hydrangea,Hydrangea macrophylla (Thunb.) Ser.,Flower,101275.jpg,751,800
72,101280,Rosaceae,Rosa,Rosa canina L.,Flower,101280.jpg,800,800
74,101360,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.,Flower,101360.jpg,649,800
75,101363,Campanulaceae,Campanula,Campanula scheuchzeri Vill.,Flower,101363.jpg,800,535
77,101389,Rosaceae,Rosa,Rosa pendulina L.,Flower,101389.jpg,600,800
78,10139,Iridaceae,Iris,Iris pseudacorus L.,Flower,10139.jpg,800,600
79,101393,Iridaceae,Iris,Iris lutescens Lam.,Flower,101393.jpg,600,800
80,101405,Orchidaceae,Ophrys,Ophrys insectifera L.,Flower,101405.jpg,800,600
81,101420,Orchidaceae,Ophrys,Ophrys lutea Cav.,Flower,101420.jpg,800,530
85,101490,Rosaceae,Crataegus,Crataegus azarolus L.,Flower,101490.jpg,742,800
86,101503,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Entire,101503.jpg,800,533
87,101514,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.,Flower,101514.jpg,450,800
88,101516,Rosaceae,Rosa,Rosa agrestis Savi,Flower,101516.jpg,562,800
91,101523,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.,Flower,101523.jpg,600,800
92,101544,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.,Flower,101544.jpg,577,800
93,10155,Geraniaceae,Geranium,Geranium molle L.,Flower,10155.jpg,600,800
94,101565,Geraniaceae,Geranium,Geranium robertianum L.,Flower,101565.jpg,600,800
96,101594,Scrophulariaceae,Verbascum,Verbascum sinuatum L.,Flower,101594.jpg,583,800
98,101638,Campanulaceae,Campanula,Campanula glomerata L.,Entire,101638.jpg,800,600
101,101718,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower,101718.jpg,800,608
102,101725,Campanulaceae,Campanula,Campanula scheuchzeri Vill.,Entire,101725.jpg,800,800
103,101739,Geraniaceae,Geranium,Geranium pratense L.,Flower,101739.jpg,800,767
106,101777,Geraniaceae,Geranium,Geranium sylvaticum L.,Flower,101777.jpg,600,800
109,101795,Fabaceae,Wisteria,Wisteria sinensis (Sims) Sweet,Flower,101795.jpg,800,800
110,101804,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower,101804.jpg,800,676
112,101831,Campanulaceae,Campanula,Campanula latifolia L.,Flower,101831.jpg,797,800
113,101836,Liliaceae,Tulipa,Tulipa sylvestris L.,Entire,101836.jpg,800,773
115,101848,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Entire,101848.jpg,800,600
116,101924,Liliaceae,Tulipa,Tulipa sylvestris L.,Flower,101924.jpg,600,800
117,101952,Iridaceae,Iris,Iris lutescens Lam.,Flower,101952.jpg,751,800
118,101975,Geraniaceae,Geranium,Geranium robertianum L.,Entire,101975.jpg,600,800
119,101987,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Entire,101987.jpg,719,800
120,101989,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,101989.jpg,600,800
122,102053,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.,Flower,102053.jpg,530,800
123,102062,Rosaceae,Rosa,Rosa pendulina L.,Flower,102062.jpg,800,800
124,102076,Rosaceae,Rosa,Rosa pendulina L.,Flower,102076.jpg,600,800
126,102155,Rosaceae,Rosa,Rosa canina L.,Flower,102155.jpg,800,800
127,102169,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Flower,102169.jpg,600,800
129,102171,Geraniaceae,Geranium,Geranium nodosum L.,Flower,102171.jpg,532,800
131,10220,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Entire,10220.jpg,800,535
135,102283,Orchidaceae,Ophrys,Ophrys passionis Sennen,Flower,102283.jpg,800,600
140,102379,Campanulaceae,Campanula,Campanula rapunculus L.,Flower,102379.jpg,800,600
141,102387,Hydrangeaceae,Hydrangea,Hydrangea macrophylla (Thunb.) Ser.,Flower,102387.jpg,751,800
144,102432,Geraniaceae,Geranium,Geranium phaeum L.,Entire,102432.jpg,615,800
145,102457,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower,102457.jpg,638,800
147,102475,Campanulaceae,Campanula,Campanula rotundifolia L.,Entire,102475.jpg,800,663
149,102528,Campanulaceae,Campanula,Campanula patula L.,Flower,102528.jpg,800,800
150,102543,Rosaceae,Rosa,Rosa spinosissima L.,Flower,102543.jpg,800,600
152,102583,Campanulaceae,Campanula,Campanula scheuchzeri Vill.,Entire,102583.jpg,800,533
153,102584,Geraniaceae,Geranium,Geranium robertianum L.,Entire,102584.jpg,600,800
154,102599,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower,102599.jpg,800,721
155,102610,Geraniaceae,Geranium,Geranium molle L.,Entire,102610.jpg,532,800
156,10272,Scrophulariaceae,Verbascum,Verbascum lychnitis L.,Entire,10272.jpg,800,535
157,102750,Geraniaceae,Geranium,Geranium dissectum L.,Entire,102750.jpg,600,800
158,102760,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,102760.jpg,530,800
159,102765,Ericaceae,Rhododendron,Rhododendron ferrugineum L.,Flower,102765.jpg,532,800
160,102811,Orchidaceae,Ophrys,Ophrys speculum Link,Flower,102811.jpg,800,535
162,102923,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower,102923.jpg,600,800
164,103019,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Entire,103019.jpg,800,533
165,103022,Geraniaceae,Geranium,Geranium molle L.,Flower,103022.jpg,800,600
166,103029,Geraniaceae,Geranium,Geranium rotundifolium L.,Flower,103029.jpg,800,540
167,103032,Scrophulariaceae,Verbascum,Verbascum boerhavii L.,Entire,103032.jpg,800,600
169,103058,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Entire,103058.jpg,800,531
170,103098,Geraniaceae,Geranium,Geranium robertianum L.,Flower,103098.jpg,449,800
171,103102,Geraniaceae,Geranium,Geranium molle L.,Flower,103102.jpg,533,800
172,103111,Orchidaceae,Ophrys,Ophrys insectifera L.,Entire,103111.jpg,800,530
173,103126,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Entire,103126.jpg,751,800
174,103136,Scrophulariaceae,Verbascum,Verbascum blattaria L.,Entire,103136.jpg,600,800
175,103146,Ericaceae,Rhododendron,Rhododendron ferrugineum L.,Entire,103146.jpg,600,800
177,103171,Geraniaceae,Geranium,Geranium columbinum L.,Flower,103171.jpg,600,800
178,103183,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Entire,103183.jpg,600,800
179,103217,Iridaceae,Iris,Iris lutescens Lam.,Flower,103217.jpg,800,511
180,10323,Geraniaceae,Geranium,Geranium nodosum L.,Flower,10323.jpg,600,800
183,103256,Campanulaceae,Campanula,Campanula trachelium L.,Flower,103256.jpg,800,533
185,103312,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower,103312.jpg,616,800
186,103313,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Entire,103313.jpg,800,535
188,103342,Scrophulariaceae,Verbascum,Verbascum boerhavii L.,Flower,103342.jpg,600,800
189,103357,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower,103357.jpg,533,800
190,103375,Campanulaceae,Campanula,Campanula trachelium L.,Flower,103375.jpg,600,800
191,103395,Orchidaceae,Ophrys,Ophrys bertolonii Moretti,Flower,103395.jpg,800,634
193,103458,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower,103458.jpg,510,800
194,103459,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower,103459.jpg,600,800
195,103488,Campanulaceae,Campanula,Campanula medium L.,Flower,103488.jpg,800,764
196,103492,Scrophulariaceae,Verbascum,Verbascum lychnitis L.,Entire,103492.jpg,800,437
197,103526,Geraniaceae,Geranium,Geranium sanguineum L.,Flower,103526.jpg,600,800
198,103532,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.,Flower,103532.jpg,600,800
200,103563,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Entire,103563.jpg,800,600
202,10358,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower,10358.jpg,800,600
203,103585,Orchidaceae,Ophrys,Ophrys speculum Link,Flower,103585.jpg,800,535
205,103621,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower,103621.jpg,621,800
207,10364,Orchidaceae,Ophrys,Ophrys lutea Cav.,Entire,10364.jpg,800,600
211,103699,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.,Flower,103699.jpg,800,785
212,103700,Scrophulariaceae,Verbascum,Verbascum sinuatum L.,Entire,103700.jpg,800,552
213,103716,Scrophulariaceae,Verbascum,Verbascum boerhavii L.,Entire,103716.jpg,800,500
215,103741,Campanulaceae,Campanula,Campanula rhomboidalis L.,Flower,103741.jpg,800,600
216,103764,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower,103764.jpg,800,578
217,103765,Hydrangeaceae,Hydrangea,Hydrangea macrophylla (Thunb.) Ser.,Flower,103765.jpg,751,800
218,103781,Iridaceae,Iris,Iris lutescens Lam.,Entire,103781.jpg,800,600
219,103792,Scrophulariaceae,Verbascum,Verbascum blattaria L.,Entire,103792.jpg,600,800
220,103805,Campanulaceae,Campanula,Campanula glomerata L.,Flower,103805.jpg,600,800
221,103818,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Flower,103818.jpg,800,530
224,103897,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Flower,103897.jpg,533,800
225,103917,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower,103917.jpg,600,800
226,103928,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Entire,103928.jpg,800,420
227,103950,Amaryllidaceae,Galanthus,Galanthus nivalis L.,Flower,103950.jpg,751,800
228,103951,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower,103951.jpg,600,800
229,103965,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower,103965.jpg,600,800
230,10397,Iridaceae,Iris,Iris lutescens Lam.,Entire,10397.jpg,600,800
231,103992,Geraniaceae,Geranium,Geranium molle L.,Flower,103992.jpg,600,800
232,104019,Campanulaceae,Campanula,Campanula persicifolia L.,Flower,104019.jpg,698,800
234,104046,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.,Entire,104046.jpg,600,800
235,104050,Orchidaceae,Ophrys,Ophrys insectifera L.,Flower,104050.jpg,800,536
236,10407,Orchidaceae,Ophrys,Ophrys arachnitiformis Gren. & M.Philippe,Entire,10407.jpg,533,800
239,104134,Orchidaceae,Ophrys,Ophrys virescens Philippe,Entire,104134.jpg,800,600
240,104157,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,104157.jpg,450,800
241,104161,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.,Flower,104161.jpg,800,761
242,104176,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower,104176.jpg,800,600
243,104194,Campanulaceae,Campanula,Campanula medium L.,Flower,104194.jpg,567,800
244,104220,Scrophulariaceae,Verbascum,Verbascum blattaria L.,Flower,104220.jpg,757,800
245,104224,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.,Flower,104224.jpg,532,800
246,104242,Campanulaceae,Campanula,Campanula rapunculus L.,Entire,104242.jpg,800,600
247,104262,Orchidaceae,Ophrys,Ophrys bertolonii Moretti,Flower,104262.jpg,800,668
248,104269,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.,Flower,104269.jpg,711,800
249,104273,Orchidaceae,Ophrys,Ophrys lutea Cav.,Flower,104273.jpg,600,800
250,104282,Campanulaceae,Campanula,Campanula rapunculus L.,Flower,104282.jpg,800,800
251,104283,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Entire,104283.jpg,800,600
252,104293,Campanulaceae,Campanula,Campanula glomerata L.,Flower,104293.jpg,600,800
253,104300,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower,104300.jpg,600,800
256,104319,Geraniaceae,Geranium,Geranium molle L.,Entire,104319.jpg,751,800
257,104359,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Entire,104359.jpg,800,600
259,104384,Orchidaceae,Ophrys,Ophrys lutea Cav.,Flower,104384.jpg,600,800
262,104464,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.,Flower,104464.jpg,800,561
263,10448,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.,Flower,10448.jpg,600,800
264,104489,Geraniaceae,Geranium,Geranium columbinum L.,Entire,104489.jpg,800,748
265,104511,Orchidaceae,Ophrys,Ophrys passionis Sennen,Flower,104511.jpg,800,601
268,104538,Liliaceae,Tulipa,Tulipa sylvestris L.,Entire,104538.jpg,600,800
269,104567,Campanulaceae,Campanula,Campanula patula L.,Flower,104567.jpg,800,530
270,104571,Geraniaceae,Geranium,Geranium robertianum L.,Entire,104571.jpg,532,800
271,104577,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,104577.jpg,530,800
273,10459,Geraniaceae,Geranium,Geranium rotundifolium L.,Entire,10459.jpg,800,531
275,104623,Geraniaceae,Geranium,Geranium molle L.,Flower,104623.jpg,533,800
276,104634,Ericaceae,Rhododendron,Rhododendron ferrugineum L.,Entire,104634.jpg,600,800
277,10464,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Entire,10464.jpg,800,233
279,104672,Geraniaceae,Geranium,Geranium sylvaticum L.,Flower,104672.jpg,800,531
281,104745,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower,104745.jpg,800,374
282,104758,Geraniaceae,Geranium,Geranium nodosum L.,Flower,104758.jpg,800,778
283,104778,Campanulaceae,Campanula,Campanula scheuchzeri Vill.,Entire,104778.jpg,600,800
284,104780,Campanulaceae,Campanula,Campanula glomerata L.,Flower,104780.jpg,800,555
285,104784,Geraniaceae,Geranium,Geranium columbinum L.,Entire,104784.jpg,600,800
286,104794,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower,104794.jpg,600,800
287,104800,Geraniaceae,Geranium,Geranium robertianum L.,Flower,104800.jpg,600,800
289,104818,Orchidaceae,Ophrys,Ophrys speculum Link,Flower,104818.jpg,686,800
291,104857,Iridaceae,Iris,Iris foetidissima L.,Flower,104857.jpg,598,800
292,104898,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower,104898.jpg,590,800
293,104910,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower,104910.jpg,800,600
296,104977,Rosaceae,Rosa,Rosa agrestis Savi,Flower,104977.jpg,718,800
297,104978,Scrophulariaceae,Verbascum,Verbascum blattaria L.,Entire,104978.jpg,534,800
298,10499,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower,10499.jpg,530,800
299,104998,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower,104998.jpg,722,800
300,10500,Campanulaceae,Campanula,Campanula persicifolia L.,Entire,10500.jpg,600,800
302,105044,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower,105044.jpg,800,800
304,10506,Orchidaceae,Ophrys,Ophrys arachnitiformis Gren. & M.Philippe,Flower,10506.jpg,600,800
306,105101,Liliaceae,Tulipa,Tulipa sylvestris L.,Flower,105101.jpg,600,800
307,105111,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower,105111.jpg,666,800
314,105172,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.,Flower,105172.jpg,600,800
316,10519,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.,Flower,10519.jpg,600,800
317,105190,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower,105190.jpg,800,600
319,105242,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.,Flower,105242.jpg,600,800
320,105245,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower,105245.jpg,800,600
322,105272,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower,105272.jpg,533,800
323,105289,Campanulaceae,Campanula,Campanula glomerata L.,Flower,105289.jpg,602,800
325,105373,Campanulaceae,Campanula,Campanula persicifolia L.,Flower,105373.jpg,533,800
326,105400,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower,105400.jpg,719,800
327,105433,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower,105433.jpg,800,531
328,105454,Hydrangeaceae,Hydrangea,Hydrangea macrophylla (Thunb.) Ser.,Flower,105454.jpg,751,800
330,105493,Orchidaceae,Ophrys,Ophrys bertolonii Moretti,Entire,105493.jpg,800,600
332,105505,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower,105505.jpg,800,642
334,105540,Ericaceae,Rhododendron,Rhododendron ferrugineum L.,Flower,105540.jpg,800,800
335,105546,Scrophulariaceae,Verbascum,Verbascum lychnitis L.,Flower,105546.jpg,800,600
336,105629,Geraniaceae,Geranium,Geranium columbinum L.,Flower,105629.jpg,530,800
337,105639,Orchidaceae,Ophrys,Ophrys insectifera L.,Flower,105639.jpg,800,600
338,10566,Amaryllidaceae,Galanthus,Galanthus nivalis L.,Entire,10566.jpg,600,800
340,105693,Lamiaceae,Lavandula,Lavandula stoechas L.,Flower,105693.jpg,800,539
341,105703,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower,105703.jpg,800,531
342,105712,Geraniaceae,Geranium,Geranium sylvaticum L.,Entire,105712.jpg,517,800
345,105750,Liliaceae,Tulipa,Tulipa sylvestris L.,Flower,105750.jpg,602,800
346,105756,Scrophulariaceae,Verbascum,Verbascum lychnitis L.,Entire,105756.jpg,800,533
347,105770,Rosaceae,Crataegus,Crataegus azarolus L.,Flower,105770.jpg,800,600
348,105784,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.,Entire,105784.jpg,600,800
349,105803,Orchidaceae,Ophrys,Ophrys apifera Huds.,Entire,105803.jpg,800,518
350,105805,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.,Flower,105805.jpg,600,800
351,105826,Campanulaceae,Campanula,Campanula scheuchzeri Vill.,Entire,105826.jpg,800,800
352,105833,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower,105833.jpg,800,800
353,105844,Geraniaceae,Geranium,Geranium nodosum L.,Flower,105844.jpg,776,800
354,105876,Geraniaceae,Geranium,Geranium robertianum L.,Flower,105876.jpg,800,800
356,105893,Scrophulariaceae,Verbascum,Verbascum boerhavii L.,Flower,105893.jpg,800,600
358,105934,Liliaceae,Tulipa,Tulipa sylvestris L.,Entire,105934.jpg,800,600
359,105944,Orchidaceae,Ophrys,Ophrys passionis Sennen,Flower,105944.jpg,678,800
360,105959,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.,Flower,105959.jpg,533,800
361,105962,Geraniaceae,Geranium,Geranium rotundifolium L.,Flower,105962.jpg,800,757
362,105985,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,105985.jpg,800,704
363,105999,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower,105999.jpg,800,600
364,10612,Oleaceae,Jasminum,Jasminum fruticans L.,Entire,10612.jpg,800,530
366,106145,Scrophulariaceae,Verbascum,Verbascum sinuatum L.,Entire,106145.jpg,800,618
367,106150,Iridaceae,Iris,Iris lutescens Lam.,Flower,106150.jpg,800,797
368,106153,Ericaceae,Rhododendron,Rhododendron ferrugineum L.,Entire,106153.jpg,600,800
369,106166,Campanulaceae,Campanula,Campanula trachelium L.,Entire,106166.jpg,800,600
370,106181,Geraniaceae,Geranium,Geranium columbinum L.,Flower,106181.jpg,800,773
374,10623,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower,10623.jpg,800,600
376,106254,Orchidaceae,Ophrys,Ophrys passionis Sennen,Flower,106254.jpg,800,619
377,106280,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Entire,106280.jpg,800,600
379,106304,Orchidaceae,Ophrys,Ophrys lutea Cav.,Flower,106304.jpg,600,800
380,106306,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,106306.jpg,533,800
382,106331,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Flower,106331.jpg,800,800
384,106396,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Flower,106396.jpg,800,600
386,106451,Amaryllidaceae,Narcissus,Narcissus tazetta L.,Flower,106451.jpg,600,800
388,106493,Rosaceae,Rosa,Rosa pendulina L.,Entire,106493.jpg,800,600
389,106518,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower,106518.jpg,600,800
390,106535,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,106535.jpg,533,800
391,106597,Campanulaceae,Campanula,Campanula glomerata L.,Entire,106597.jpg,533,800
393,106624,Campanulaceae,Campanula,Campanula rhomboidalis L.,Flower,106624.jpg,800,535
394,106641,Geraniaceae,Geranium,Geranium columbinum L.,Flower,106641.jpg,603,800
395,106643,Geraniaceae,Geranium,Geranium molle L.,Flower,106643.jpg,751,800
397,106670,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,106670.jpg,600,800
398,10668,Campanulaceae,Campanula,Campanula rotundifolia L.,Entire,10668.jpg,535,800
400,106720,Geraniaceae,Geranium,Geranium dissectum L.,Flower,106720.jpg,800,600
402,10677,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Flower,10677.jpg,800,600
404,106794,Geraniaceae,Geranium,Geranium nodosum L.,Entire,106794.jpg,800,599
405,106795,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,106795.jpg,800,532
406,106828,Campanulaceae,Campanula,Campanula rotundifolia L.,Flower,106828.jpg,535,800
407,106843,Fabaceae,Wisteria,Wisteria sinensis (Sims) Sweet,Entire,106843.jpg,751,800
409,106857,Liliaceae,Tulipa,Tulipa sylvestris L.,Flower,106857.jpg,600,800
410,106893,Orchidaceae,Ophrys,Ophrys virescens Philippe,Flower,106893.jpg,757,800
412,106952,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower,106952.jpg,533,800
415,10699,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower,10699.jpg,600,800
418,107043,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower,107043.jpg,800,688
419,107045,Geraniaceae,Geranium,Geranium molle L.,Flower,107045.jpg,647,800
421,107134,Orchidaceae,Ophrys,Ophrys lutea Cav.,Entire,107134.jpg,800,530
422,107148,Ericaceae,Rhododendron,Rhododendron ferrugineum L.,Flower,107148.jpg,800,600
