,id,family,genus,species,content
48,101318,Gentianaceae,Gentiana,Gentiana lutea L.,Flower
49,101347,Plantaginaceae,Veronica,Veronica beccabunga L.,Flower
50,101350,Amaryllidaceae,Allium,Allium schoenoprasum L.,Flower
51,101358,Malvaceae,Malva,Malva sylvestris L.,Flower
52,101360,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.,Flower
53,101363,Campanulaceae,Campanula,Campanula scheuchzeri Vill.,Flower
54,101389,Rosaceae,Rosa,Rosa pendulina L.,Flower
55,10139,Iridaceae,Iris,Iris pseudacorus L.,Flower
56,101391,Malvaceae,Malva,Malva arborea (L.) Webb & Berthel.,Flower
57,101393,Iridaceae,Iris,Iris lutescens Lam.,Flower
58,101405,Orchidaceae,Ophrys,Ophrys insectifera L.,Flower
59,101416,Malvaceae,Malva,Malva arborea (L.) Webb & Berthel.,Flower
60,101420,Orchidaceae,Ophrys,Ophrys lutea Cav.,Flower
61,101490,Rosaceae,Crataegus,Crataegus azarolus L.,Flower
62,101514,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.,Flower
63,101516,Rosaceae,Rosa,Rosa agrestis Savi,Flower
64,101523,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.,Flower
65,101536,Violaceae,Viola,Viola tricolor L.,Flower
66,101544,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.,Flower
67,10155,Geraniaceae,Geranium,Geranium molle L.,Flower
68,101551,Plantaginaceae,Veronica,Veronica chamaedrys L.,Flower
69,101565,Geraniaceae,Geranium,Geranium robertianum L.,Flower
70,101580,Lamiaceae,Ajuga,Ajuga genevensis L.,Flower
71,101591,Malvaceae,Malva,Malva moschata L.,Flower
72,101594,Scrophulariaceae,Verbascum,Verbascum sinuatum L.,Flower
73,101608,Violaceae,Viola,Viola odorata L.,Flower
74,101705,Malvaceae,Malva,Malva arborea (L.) Webb & Berthel.,Flower
75,101718,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower
76,101739,Geraniaceae,Geranium,Geranium pratense L.,Flower
77,101755,Amaryllidaceae,Allium,Allium ursinum L.,Flower
78,101777,Geraniaceae,Geranium,Geranium sylvaticum L.,Flower
79,101803,Lamiaceae,Ajuga,Ajuga genevensis L.,Flower
80,101804,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower
81,101831,Campanulaceae,Campanula,Campanula latifolia L.,Flower
82,101862,Fabaceae,Trifolium,Trifolium resupinatum L.,Flower
83,101911,Lamiaceae,Ajuga,Ajuga genevensis L.,Flower
84,101952,Iridaceae,Iris,Iris lutescens Lam.,Flower
85,101968,Gentianaceae,Gentiana,Gentiana lutea L.,Flower
86,101989,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower
87,102053,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.,Flower
88,102062,Rosaceae,Rosa,Rosa pendulina L.,Flower
89,102076,Rosaceae,Rosa,Rosa pendulina L.,Flower
90,102125,Amaryllidaceae,Allium,Allium sphaerocephalon L.,Flower
91,102155,Rosaceae,Rosa,Rosa canina L.,Flower
92,102164,Violaceae,Viola,Viola lutea Huds.,Flower
93,102169,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Flower
94,102171,Geraniaceae,Geranium,Geranium nodosum L.,Flower
95,102248,Violaceae,Viola,Viola alba Besser,Flower
96,102283,Orchidaceae,Ophrys,Ophrys passionis Sennen,Flower
97,102287,Plantaginaceae,Veronica,Veronica persica Poir.,Flower
98,102316,Violaceae,Viola,Viola arvensis Murray,Flower
99,102362,Gentianaceae,Gentiana,Gentiana nivalis L.,Flower
100,102379,Campanulaceae,Campanula,Campanula rapunculus L.,Flower
101,102457,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower
102,102500,Amaryllidaceae,Allium,Allium schoenoprasum L.,Flower
103,102502,Violaceae,Viola,Viola tricolor L.,Flower
104,102528,Campanulaceae,Campanula,Campanula patula L.,Flower
105,102541,Amaryllidaceae,Allium,Allium schoenoprasum L.,Flower
106,102543,Rosaceae,Rosa,Rosa spinosissima L.,Flower
107,102572,Fabaceae,Trifolium,Trifolium campestre Schreb.,Flower
108,102599,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower
109,10264,Malvaceae,Malva,Malva sylvestris L.,Flower
110,102725,Fabaceae,Trifolium,Trifolium scabrum L.,Flower
111,10275,Plantaginaceae,Veronica,Veronica chamaedrys L.,Flower
112,102753,Plantaginaceae,Veronica,Veronica hederifolia L.,Flower
113,102760,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower
114,102785,Lamiaceae,Ajuga,Ajuga genevensis L.,Flower
115,102811,Orchidaceae,Ophrys,Ophrys speculum Link,Flower
116,102826,Gentianaceae,Gentiana,Gentiana pneumonanthe L.,Flower
117,102852,Malvaceae,Malva,Malva sylvestris L.,Flower
118,102923,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower
119,102939,Plantaginaceae,Veronica,Veronica persica Poir.,Flower
120,102965,Malvaceae,Malva,Malva moschata L.,Flower
121,103022,Geraniaceae,Geranium,Geranium molle L.,Flower
122,103029,Geraniaceae,Geranium,Geranium rotundifolium L.,Flower
123,103071,Plantaginaceae,Veronica,Veronica anagallis-aquatica L.,Flower
124,103080,Lamiaceae,Ajuga,Ajuga chamaepitys (L.) Schreb.,Flower
125,103098,Geraniaceae,Geranium,Geranium robertianum L.,Flower
126,103102,Geraniaceae,Geranium,Geranium molle L.,Flower
127,103149,Gentianaceae,Gentiana,Gentiana burseri Lapeyr.,Flower
128,103169,Gentianaceae,Gentiana,Gentiana cruciata L.,Flower
129,103171,Geraniaceae,Geranium,Geranium columbinum L.,Flower
130,103217,Iridaceae,Iris,Iris lutescens Lam.,Flower
131,10323,Geraniaceae,Geranium,Geranium nodosum L.,Flower
132,103256,Campanulaceae,Campanula,Campanula trachelium L.,Flower
133,103312,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower
134,10332,Lamiaceae,Ajuga,Ajuga reptans L.,Flower
135,103331,Gentianaceae,Gentiana,Gentiana pneumonanthe L.,Flower
136,103342,Scrophulariaceae,Verbascum,Verbascum boerhavii L.,Flower
137,103344,Gentianaceae,Gentiana,Gentiana purpurea L.,Flower
138,103357,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower
139,103375,Campanulaceae,Campanula,Campanula trachelium L.,Flower
140,103395,Orchidaceae,Ophrys,Ophrys bertolonii Moretti,Flower
141,103433,Amaryllidaceae,Allium,Allium triquetrum L.,Flower
142,103458,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower
143,103459,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower
144,103488,Campanulaceae,Campanula,Campanula medium L.,Flower
145,103494,Fabaceae,Trifolium,Trifolium pratense L.,Flower
146,103526,Geraniaceae,Geranium,Geranium sanguineum L.,Flower
147,103532,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.,Flower
148,10358,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower
149,103585,Orchidaceae,Ophrys,Ophrys speculum Link,Flower
150,103621,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower
151,103662,Malvaceae,Malva,Malva setigera Spenn.,Flower
152,103699,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.,Flower
153,103741,Campanulaceae,Campanula,Campanula rhomboidalis L.,Flower
154,103764,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower
155,103771,Plantaginaceae,Veronica,Veronica persica Poir.,Flower
156,103805,Campanulaceae,Campanula,Campanula glomerata L.,Flower
157,103818,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Flower
158,103824,Malvaceae,Malva,Malva sylvestris L.,Flower
159,103847,Malvaceae,Malva,Malva sylvestris L.,Flower
160,103886,Lamiaceae,Ajuga,Ajuga reptans L.,Flower
161,103897,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Flower
162,10390,Violaceae,Viola,Viola arvensis Murray,Flower
163,103912,Violaceae,Viola,Viola biflora L.,Flower
164,103917,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower
165,103921,Gentianaceae,Gentiana,Gentiana verna L.,Flower
166,103951,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower
167,103965,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower
168,103986,Malvaceae,Malva,Malva sylvestris L.,Flower
169,103992,Geraniaceae,Geranium,Geranium molle L.,Flower
170,104019,Campanulaceae,Campanula,Campanula persicifolia L.,Flower
171,104043,Lamiaceae,Ajuga,Ajuga reptans L.,Flower
172,104050,Orchidaceae,Ophrys,Ophrys insectifera L.,Flower
173,104135,Gentianaceae,Gentiana,Gentiana burseri Lapeyr.,Flower
174,10414,Malvaceae,Malva,Malva sylvestris L.,Flower
175,104157,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower
176,104161,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.,Flower
177,104162,Gentianaceae,Gentiana,Gentiana pneumonanthe L.,Flower
178,10417,Violaceae,Viola,Viola lutea Huds.,Flower
179,104171,Fabaceae,Trifolium,Trifolium scabrum L.,Flower
180,104176,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower
181,104194,Campanulaceae,Campanula,Campanula medium L.,Flower
182,104220,Scrophulariaceae,Verbascum,Verbascum blattaria L.,Flower
183,104224,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.,Flower
184,104240,Amaryllidaceae,Allium,Allium schoenoprasum L.,Flower
185,104262,Orchidaceae,Ophrys,Ophrys bertolonii Moretti,Flower
186,104269,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.,Flower
187,104273,Orchidaceae,Ophrys,Ophrys lutea Cav.,Flower
188,104282,Campanulaceae,Campanula,Campanula rapunculus L.,Flower
189,104293,Campanulaceae,Campanula,Campanula glomerata L.,Flower
190,104299,Plantaginaceae,Veronica,Veronica serpyllifolia L.,Flower
191,104300,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower
192,104304,Gentianaceae,Gentiana,Gentiana nivalis L.,Flower
193,104384,Orchidaceae,Ophrys,Ophrys lutea Cav.,Flower
194,104464,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.,Flower
195,10448,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.,Flower
196,104497,Plantaginaceae,Veronica,Veronica chamaedrys L.,Flower
197,104511,Orchidaceae,Ophrys,Ophrys passionis Sennen,Flower
198,104567,Campanulaceae,Campanula,Campanula patula L.,Flower
199,104577,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower
200,104588,Violaceae,Viola,Viola biflora L.,Flower
201,104623,Geraniaceae,Geranium,Geranium molle L.,Flower
202,104672,Geraniaceae,Geranium,Geranium sylvaticum L.,Flower
203,10468,Malvaceae,Malva,Malva sylvestris L.,Flower
204,104698,Violaceae,Viola,Viola alba Besser,Flower
205,104713,Fabaceae,Trifolium,Trifolium stellatum L.,Flower
206,104745,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower
207,104758,Geraniaceae,Geranium,Geranium nodosum L.,Flower
208,104780,Campanulaceae,Campanula,Campanula glomerata L.,Flower
209,104794,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower
210,104800,Geraniaceae,Geranium,Geranium robertianum L.,Flower
211,104809,Amaryllidaceae,Allium,Allium ursinum L.,Flower
212,104818,Orchidaceae,Ophrys,Ophrys speculum Link,Flower
213,104857,Iridaceae,Iris,Iris foetidissima L.,Flower
214,104898,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower
215,104910,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower
216,104935,Violaceae,Viola,Viola lutea Huds.,Flower
217,104977,Rosaceae,Rosa,Rosa agrestis Savi,Flower
218,104982,Asteraceae,Cirsium,Cirsium vulgare (Savi) Ten.,Flower
219,10499,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower
220,104998,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower
221,1050,Violaceae,Viola,Viola lutea Huds.,Flower
222,105044,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower
223,105045,Lamiaceae,Ajuga,Ajuga genevensis L.,Flower
224,10506,Orchidaceae,Ophrys,Ophrys arachnitiformis Gren. & M.Philippe,Flower
225,105111,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower
226,105170,Lamiaceae,Ajuga,Ajuga iva (L.) Schreb.,Flower
227,105172,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.,Flower
228,10519,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.,Flower
229,105190,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower
230,105242,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.,Flower
231,105243,Violaceae,Viola,Viola tricolor L.,Flower
232,105245,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower
233,105246,Plantaginaceae,Veronica,Veronica chamaedrys L.,Flower
234,105272,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower
235,105289,Campanulaceae,Campanula,Campanula glomerata L.,Flower
236,105337,Gentianaceae,Gentiana,Gentiana pyrenaica L.,Flower
237,105373,Campanulaceae,Campanula,Campanula persicifolia L.,Flower
238,105400,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower
239,105433,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower
240,105480,Fabaceae,Trifolium,Trifolium resupinatum L.,Flower
241,105505,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower
242,105546,Scrophulariaceae,Verbascum,Verbascum lychnitis L.,Flower
243,105596,Lamiaceae,Ajuga,Ajuga iva (L.) Schreb.,Flower
244,105629,Geraniaceae,Geranium,Geranium columbinum L.,Flower
245,105639,Orchidaceae,Ophrys,Ophrys insectifera L.,Flower
246,105652,Asteraceae,Cirsium,Cirsium vulgare (Savi) Ten.,Flower
247,105694,Fabaceae,Trifolium,Trifolium pratense L.,Flower
248,105703,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower
249,105727,Violaceae,Viola,Viola tricolor L.,Flower
250,105770,Rosaceae,Crataegus,Crataegus azarolus L.,Flower
251,105805,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.,Flower
252,105833,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower
253,105835,Amaryllidaceae,Allium,Allium ursinum L.,Flower
254,105837,Violaceae,Viola,Viola odorata L.,Flower
255,105844,Geraniaceae,Geranium,Geranium nodosum L.,Flower
256,105865,Violaceae,Viola,Viola alba Besser,Flower
257,105876,Geraniaceae,Geranium,Geranium robertianum L.,Flower
258,105893,Scrophulariaceae,Verbascum,Verbascum boerhavii L.,Flower
259,105926,Amaryllidaceae,Allium,Allium ursinum L.,Flower
260,105944,Orchidaceae,Ophrys,Ophrys passionis Sennen,Flower
261,105959,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.,Flower
262,105962,Geraniaceae,Geranium,Geranium rotundifolium L.,Flower
263,105972,Malvaceae,Malva,Malva moschata L.,Flower
264,105985,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower
265,105999,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower
266,106011,Malvaceae,Malva,Malva moschata L.,Flower
267,106027,Plantaginaceae,Veronica,Veronica officinalis L.,Flower
268,106031,Plantaginaceae,Veronica,Veronica persica Poir.,Flower
269,106150,Iridaceae,Iris,Iris lutescens Lam.,Flower
270,106181,Geraniaceae,Geranium,Geranium columbinum L.,Flower
271,106212,Gentianaceae,Gentiana,Gentiana purpurea L.,Flower
272,10623,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower
273,106254,Orchidaceae,Ophrys,Ophrys passionis Sennen,Flower
274,106304,Orchidaceae,Ophrys,Ophrys lutea Cav.,Flower
275,106306,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower
276,106384,Lamiaceae,Ajuga,Ajuga iva (L.) Schreb.,Flower
277,106396,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Flower
278,106451,Amaryllidaceae,Narcissus,Narcissus tazetta L.,Flower
279,106518,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower
280,106527,Amaryllidaceae,Allium,Allium ursinum L.,Flower
281,106535,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower
282,106542,Fabaceae,Trifolium,Trifolium pratense L.,Flower
283,1066,Amaryllidaceae,Allium,Allium sphaerocephalon L.,Flower
284,106624,Campanulaceae,Campanula,Campanula rhomboidalis L.,Flower
285,106641,Geraniaceae,Geranium,Geranium columbinum L.,Flower
286,106643,Geraniaceae,Geranium,Geranium molle L.,Flower
287,106670,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower
288,106720,Geraniaceae,Geranium,Geranium dissectum L.,Flower
289,10677,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Flower
290,106795,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower
291,106798,Malvaceae,Malva,Malva moschata L.,Flower
292,106828,Campanulaceae,Campanula,Campanula rotundifolia L.,Flower
293,10685,Gentianaceae,Gentiana,Gentiana acaulis L.,Flower
294,106893,Orchidaceae,Ophrys,Ophrys virescens Philippe,Flower
295,106952,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower
296,106974,Gentianaceae,Gentiana,Gentiana nivalis L.,Flower
297,10699,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower
298,107043,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower
299,107045,Geraniaceae,Geranium,Geranium molle L.,Flower
300,10718,Geraniaceae,Geranium,Geranium robertianum L.,Flower
301,107194,Plantaginaceae,Veronica,Veronica chamaedrys L.,Flower
302,107206,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower
303,107219,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Flower
304,107268,Orchidaceae,Ophrys,Ophrys speculum Link,Flower
305,107274,Malvaceae,Malva,Malva sylvestris L.,Flower
306,107319,Fabaceae,Trifolium,Trifolium pratense L.,Flower
307,107365,Amaryllidaceae,Allium,Allium sphaerocephalon L.,Flower
308,107402,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower
309,107421,Rosaceae,Rosa,Rosa canina L.,Flower
310,107464,Violaceae,Viola,Viola tricolor L.,Flower
311,107478,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower
312,107491,Campanulaceae,Campanula,Campanula patula L.,Flower
313,107492,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower
314,1075,Plantaginaceae,Veronica,Veronica serpyllifolia L.,Flower
315,107507,Campanulaceae,Campanula,Campanula glomerata L.,Flower
316,107515,Malvaceae,Malva,Malva neglecta Wallr.,Flower
317,107687,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower
318,107695,Scrophulariaceae,Verbascum,Verbascum blattaria L.,Flower
319,107704,Asteraceae,Cirsium,Cirsium arvense (L.) Scop.,Flower
320,10776,Plantaginaceae,Veronica,Veronica chamaedrys L.,Flower
321,107914,Geraniaceae,Geranium,Geranium phaeum L.,Flower
322,107945,Campanulaceae,Campanula,Campanula rapunculus L.,Flower
323,107955,Geraniaceae,Geranium,Geranium dissectum L.,Flower
324,107959,Rosaceae,Rosa,Rosa pendulina L.,Flower
325,108000,Iridaceae,Iris,Iris lutescens Lam.,Flower
326,108041,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower
327,108044,Scrophulariaceae,Verbascum,Verbascum boerhavii L.,Flower
328,108072,Malvaceae,Malva,Malva arborea (L.) Webb & Berthel.,Flower
329,108081,Violaceae,Viola,Viola riviniana Rchb.,Flower
330,108096,Orchidaceae,Ophrys,Ophrys lutea Cav.,Flower
331,108109,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.,Flower
332,108247,Asteraceae,Cirsium,Cirsium eriophorum (L.) Scop.,Flower
333,108274,Iridaceae,Iris,Iris pseudacorus L.,Flower
334,108349,Scrophulariaceae,Verbascum,Verbascum sinuatum L.,Flower
335,10841,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower
336,108415,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower
337,10844,Amaryllidaceae,Allium,Allium triquetrum L.,Flower
338,108479,Amaryllidaceae,Allium,Allium schoenoprasum L.,Flower
339,10850,Lamiaceae,Ajuga,Ajuga reptans L.,Flower
340,108530,Campanulaceae,Campanula,Campanula scheuchzeri Vill.,Flower
341,108540,Violaceae,Viola,Viola odorata L.,Flower
342,108545,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower
343,108562,Amaryllidaceae,Narcissus,Narcissus tazetta L.,Flower
344,108584,Amaryllidaceae,Allium,Allium schoenoprasum L.,Flower
345,108596,Malvaceae,Malva,Malva sylvestris L.,Flower
346,108650,Orchidaceae,Ophrys,Ophrys arachnitiformis Gren. & M.Philippe,Flower
347,108692,Geraniaceae,Geranium,Geranium pusillum L.,Flower
348,108719,Campanulaceae,Campanula,Campanula rapunculus L.,Flower
349,108771,Campanulaceae,Campanula,Campanula glomerata L.,Flower
350,108782,Geraniaceae,Geranium,Geranium rotundifolium L.,Flower
351,108792,Orchidaceae,Ophrys,Ophrys lutea Cav.,Flower
352,108796,Lamiaceae,Ajuga,Ajuga reptans L.,Flower
353,108810,Lamiaceae,Ajuga,Ajuga reptans L.,Flower
354,108837,Geraniaceae,Geranium,Geranium molle L.,Flower
355,10888,Malvaceae,Malva,Malva neglecta Wallr.,Flower
356,108882,Orchidaceae,Ophrys,Ophrys bertolonii Moretti,Flower
357,108883,Scrophulariaceae,Verbascum,Verbascum sinuatum L.,Flower
358,10890,Amaryllidaceae,Allium,Allium ursinum L.,Flower
359,108913,Iridaceae,Iris,Iris foetidissima L.,Flower
360,108916,Plantaginaceae,Veronica,Veronica chamaedrys L.,Flower
361,109039,Asteraceae,Cirsium,Cirsium arvense (L.) Scop.,Flower
362,1091,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower
363,109139,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower
364,109144,Fabaceae,Trifolium,Trifolium subterraneum L.,Flower
365,109150,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.,Flower
366,109178,Plantaginaceae,Veronica,Veronica hederifolia L.,Flower
367,109224,Geraniaceae,Geranium,Geranium dissectum L.,Flower
368,10923,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower
369,109276,Iridaceae,Iris,Iris lutescens Lam.,Flower
370,109290,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.,Flower
371,109315,Asteraceae,Cirsium,Cirsium vulgare (Savi) Ten.,Flower
372,109385,Orchidaceae,Ophrys,Ophrys virescens Philippe,Flower
373,109397,Amaryllidaceae,Allium,Allium schoenoprasum L.,Flower
374,10940,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower
375,109411,Amaryllidaceae,Allium,Allium triquetrum L.,Flower
376,109437,Geraniaceae,Geranium,Geranium robertianum L.,Flower
377,109451,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Flower
378,109460,Iridaceae,Iris,Iris lutescens Lam.,Flower
379,109516,Orchidaceae,Ophrys,Ophrys passionis Sennen,Flower
380,109536,Violaceae,Viola,Viola riviniana Rchb.,Flower
381,109544,Violaceae,Viola,Viola lutea Huds.,Flower
382,109578,Amaryllidaceae,Allium,Allium polyanthum Schult. & Schult.f.,Flower
383,109627,Campanulaceae,Campanula,Campanula glomerata L.,Flower
384,109641,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower
385,109643,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower
386,109659,Geraniaceae,Geranium,Geranium pusillum L.,Flower
387,109676,Campanulaceae,Campanula,Campanula scheuchzeri Vill.,Flower
388,109698,Violaceae,Viola,Viola tricolor L.,Flower
389,109702,Amaryllidaceae,Allium,Allium narcissiflorum Vill.,Flower
390,109730,Iridaceae,Iris,Iris lutescens Lam.,Flower
391,109734,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower
392,109743,Plantaginaceae,Veronica,Veronica persica Poir.,Flower
393,109781,Amaryllidaceae,Allium,Allium ursinum L.,Flower
394,109782,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.,Flower
395,109801,Orchidaceae,Ophrys,Ophrys virescens Philippe,Flower
