,id,family,genus,species
109,101795,Fabaceae,Wisteria,Wisteria sinensis (Sims) Sweet
110,101804,Orchidaceae,Ophrys,Ophrys scolopax Cav.
111,101808,Hydrangeaceae,Hydrangea,Hydrangea macrophylla (Thunb.) Ser.
112,101831,Campanulaceae,Campanula,Campanula latifolia L.
113,101836,Liliaceae,Tulipa,Tulipa sylvestris L.
114,101839,Rosaceae,Rosa,Rosa canina L.
115,101848,Orchidaceae,Ophrys,Ophrys aranifera Huds.
116,101924,Liliaceae,Tulipa,Tulipa sylvestris L.
117,101952,Iridaceae,Iris,Iris lutescens Lam.
118,101975,Geraniaceae,Geranium,Geranium robertianum L.
119,101987,Scrophulariaceae,Verbascum,Verbascum thapsus L.
120,101989,Rosaceae,Crataegus,Crataegus monogyna Jacq.
121,102025,Rosaceae,Crataegus,Crataegus monogyna Jacq.
122,102053,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.
123,102062,Rosaceae,Rosa,Rosa pendulina L.
124,102076,Rosaceae,Rosa,Rosa pendulina L.
125,10210,Scrophulariaceae,Verbascum,Verbascum thapsus L.
126,102155,Rosaceae,Rosa,Rosa canina L.
127,102169,Orchidaceae,Ophrys,Ophrys aranifera Huds.
128,102170,Geraniaceae,Geranium,Geranium rotundifolium L.
129,102171,Geraniaceae,Geranium,Geranium nodosum L.
130,102178,Scrophulariaceae,Verbascum,Verbascum lychnitis L.
131,10220,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.
132,102261,Campanulaceae,Campanula,Campanula trachelium L.
133,102273,Geraniaceae,Geranium,Geranium phaeum L.
134,102274,Scrophulariaceae,Verbascum,Verbascum nigrum L.
135,102283,Orchidaceae,Ophrys,Ophrys passionis Sennen
136,102284,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.
137,102333,Orchidaceae,Ophrys,Ophrys insectifera L.
138,102368,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze
139,102377,Orchidaceae,Ophrys,Ophrys speculum Link
140,102379,Campanulaceae,Campanula,Campanula rapunculus L.
141,102387,Hydrangeaceae,Hydrangea,Hydrangea macrophylla (Thunb.) Ser.
142,102395,Geraniaceae,Geranium,Geranium sylvaticum L.
143,10241,Fabaceae,Wisteria,Wisteria sinensis (Sims) Sweet
144,102432,Geraniaceae,Geranium,Geranium phaeum L.
145,102457,Amaryllidaceae,Narcissus,Narcissus dubius Gouan
146,102473,Rosaceae,Crataegus,Crataegus monogyna Jacq.
147,102475,Campanulaceae,Campanula,Campanula rotundifolia L.
148,102505,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.
149,102528,Campanulaceae,Campanula,Campanula patula L.
150,102543,Rosaceae,Rosa,Rosa spinosissima L.
151,102580,Geraniaceae,Geranium,Geranium phaeum L.
152,102583,Campanulaceae,Campanula,Campanula scheuchzeri Vill.
153,102584,Geraniaceae,Geranium,Geranium robertianum L.
154,102599,Orchidaceae,Ophrys,Ophrys apifera Huds.
155,102610,Geraniaceae,Geranium,Geranium molle L.
156,10272,Scrophulariaceae,Verbascum,Verbascum lychnitis L.
157,102750,Geraniaceae,Geranium,Geranium dissectum L.
158,102760,Rosaceae,Crataegus,Crataegus monogyna Jacq.
159,102765,Ericaceae,Rhododendron,Rhododendron ferrugineum L.
160,102811,Orchidaceae,Ophrys,Ophrys speculum Link
161,10282,Rosaceae,Crataegus,Crataegus azarolus L.
162,102923,Scrophulariaceae,Verbascum,Verbascum nigrum L.
163,102966,Rosaceae,Crataegus,Crataegus monogyna Jacq.
164,103019,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour
165,103022,Geraniaceae,Geranium,Geranium molle L.
166,103029,Geraniaceae,Geranium,Geranium rotundifolium L.
167,103032,Scrophulariaceae,Verbascum,Verbascum boerhavii L.
168,10304,Rosaceae,Crataegus,Crataegus monogyna Jacq.
169,103058,Scrophulariaceae,Verbascum,Verbascum nigrum L.
170,103098,Geraniaceae,Geranium,Geranium robertianum L.
171,103102,Geraniaceae,Geranium,Geranium molle L.
172,103111,Orchidaceae,Ophrys,Ophrys insectifera L.
173,103126,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.
174,103136,Scrophulariaceae,Verbascum,Verbascum blattaria L.
175,103146,Ericaceae,Rhododendron,Rhododendron ferrugineum L.
176,103153,Oleaceae,Jasminum,Jasminum fruticans L.
177,103171,Geraniaceae,Geranium,Geranium columbinum L.
178,103183,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour
179,103217,Iridaceae,Iris,Iris lutescens Lam.
180,10323,Geraniaceae,Geranium,Geranium nodosum L.
181,103234,Rosaceae,Crataegus,Crataegus monogyna Jacq.
182,103236,Fabaceae,Wisteria,Wisteria sinensis (Sims) Sweet
183,103256,Campanulaceae,Campanula,Campanula trachelium L.
184,103276,Rosaceae,Rosa,Rosa pendulina L.
185,103312,Orchidaceae,Ophrys,Ophrys scolopax Cav.
186,103313,Scrophulariaceae,Verbascum,Verbascum nigrum L.
187,103324,Geraniaceae,Geranium,Geranium sylvaticum L.
188,103342,Scrophulariaceae,Verbascum,Verbascum boerhavii L.
189,103357,Scrophulariaceae,Verbascum,Verbascum thapsus L.
190,103375,Campanulaceae,Campanula,Campanula trachelium L.
191,103395,Orchidaceae,Ophrys,Ophrys bertolonii Moretti
192,103436,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.
193,103458,Orchidaceae,Ophrys,Ophrys apifera Huds.
194,103459,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour
195,103488,Campanulaceae,Campanula,Campanula medium L.
196,103492,Scrophulariaceae,Verbascum,Verbascum lychnitis L.
197,103526,Geraniaceae,Geranium,Geranium sanguineum L.
198,103532,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.
199,103539,Rosaceae,Rosa,Rosa pendulina L.
200,103563,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.
201,103571,Geraniaceae,Geranium,Geranium robertianum L.
202,10358,Amaryllidaceae,Narcissus,Narcissus dubius Gouan
203,103585,Orchidaceae,Ophrys,Ophrys speculum Link
204,103597,Rosaceae,Crataegus,Crataegus azarolus L.
205,103621,Scrophulariaceae,Verbascum,Verbascum nigrum L.
206,103632,Geraniaceae,Geranium,Geranium robertianum L.
207,10364,Orchidaceae,Ophrys,Ophrys lutea Cav.
208,103650,Rosaceae,Crataegus,Crataegus azarolus L.
209,103654,Rosaceae,Crataegus,Crataegus monogyna Jacq.
210,103664,Geraniaceae,Geranium,Geranium lucidum L.
211,103699,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.
212,103700,Scrophulariaceae,Verbascum,Verbascum sinuatum L.
213,103716,Scrophulariaceae,Verbascum,Verbascum boerhavii L.
214,103721,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze
215,103741,Campanulaceae,Campanula,Campanula rhomboidalis L.
216,103764,Amaryllidaceae,Narcissus,Narcissus dubius Gouan
217,103765,Hydrangeaceae,Hydrangea,Hydrangea macrophylla (Thunb.) Ser.
218,103781,Iridaceae,Iris,Iris lutescens Lam.
219,103792,Scrophulariaceae,Verbascum,Verbascum blattaria L.
220,103805,Campanulaceae,Campanula,Campanula glomerata L.
221,103818,Orchidaceae,Ophrys,Ophrys aranifera Huds.
222,103827,Scrophulariaceae,Verbascum,Verbascum blattaria L.
223,103845,Rosaceae,Crataegus,Crataegus monogyna Jacq.
224,103897,Orchidaceae,Ophrys,Ophrys aranifera Huds.
225,103917,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour
226,103928,Orchidaceae,Ophrys,Ophrys scolopax Cav.
227,103950,Amaryllidaceae,Galanthus,Galanthus nivalis L.
228,103951,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour
229,103965,Orchidaceae,Ophrys,Ophrys scolopax Cav.
230,10397,Iridaceae,Iris,Iris lutescens Lam.
231,103992,Geraniaceae,Geranium,Geranium molle L.
232,104019,Campanulaceae,Campanula,Campanula persicifolia L.
233,104026,Rosaceae,Crataegus,Crataegus monogyna Jacq.
234,104046,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.
235,104050,Orchidaceae,Ophrys,Ophrys insectifera L.
236,10407,Orchidaceae,Ophrys,Ophrys arachnitiformis Gren. & M.Philippe
237,104073,Geraniaceae,Geranium,Geranium molle L.
238,10408,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.
239,104134,Orchidaceae,Ophrys,Ophrys virescens Philippe
240,104157,Rosaceae,Crataegus,Crataegus monogyna Jacq.
241,104161,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.
242,104176,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour
243,104194,Campanulaceae,Campanula,Campanula medium L.
244,104220,Scrophulariaceae,Verbascum,Verbascum blattaria L.
245,104224,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.
246,104242,Campanulaceae,Campanula,Campanula rapunculus L.
247,104262,Orchidaceae,Ophrys,Ophrys bertolonii Moretti
248,104269,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.
249,104273,Orchidaceae,Ophrys,Ophrys lutea Cav.
250,104282,Campanulaceae,Campanula,Campanula rapunculus L.
251,104283,Orchidaceae,Ophrys,Ophrys aranifera Huds.
252,104293,Campanulaceae,Campanula,Campanula glomerata L.
253,104300,Scrophulariaceae,Verbascum,Verbascum thapsus L.
254,104301,Geraniaceae,Geranium,Geranium robertianum L.
255,104309,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze
256,104319,Geraniaceae,Geranium,Geranium molle L.
257,104359,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.
258,104383,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.
259,104384,Orchidaceae,Ophrys,Ophrys lutea Cav.
260,10439,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze
261,104459,Rosaceae,Rosa,Rosa canina L.
262,104464,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.
263,10448,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.
264,104489,Geraniaceae,Geranium,Geranium columbinum L.
265,104511,Orchidaceae,Ophrys,Ophrys passionis Sennen
266,104522,Rosaceae,Crataegus,Crataegus monogyna Jacq.
267,104535,Geraniaceae,Geranium,Geranium robertianum L.
268,104538,Liliaceae,Tulipa,Tulipa sylvestris L.
269,104567,Campanulaceae,Campanula,Campanula patula L.
270,104571,Geraniaceae,Geranium,Geranium robertianum L.
271,104577,Rosaceae,Crataegus,Crataegus monogyna Jacq.
272,104585,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.
273,10459,Geraniaceae,Geranium,Geranium rotundifolium L.
274,104615,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze
275,104623,Geraniaceae,Geranium,Geranium molle L.
276,104634,Ericaceae,Rhododendron,Rhododendron ferrugineum L.
277,10464,Scrophulariaceae,Verbascum,Verbascum nigrum L.
278,104657,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.
279,104672,Geraniaceae,Geranium,Geranium sylvaticum L.
280,104675,Ericaceae,Rhododendron,Rhododendron ferrugineum L.
281,104745,Scrophulariaceae,Verbascum,Verbascum nigrum L.
282,104758,Geraniaceae,Geranium,Geranium nodosum L.
283,104778,Campanulaceae,Campanula,Campanula scheuchzeri Vill.
284,104780,Campanulaceae,Campanula,Campanula glomerata L.
285,104784,Geraniaceae,Geranium,Geranium columbinum L.
286,104794,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour
287,104800,Geraniaceae,Geranium,Geranium robertianum L.
288,104808,Rosaceae,Rosa,Rosa canina L.
289,104818,Orchidaceae,Ophrys,Ophrys speculum Link
290,10483,Rosaceae,Crataegus,Crataegus azarolus L.
291,104857,Iridaceae,Iris,Iris foetidissima L.
292,104898,Scrophulariaceae,Verbascum,Verbascum thapsus L.
293,104910,Orchidaceae,Ophrys,Ophrys apifera Huds.
294,104960,Iridaceae,Iris,Iris lutescens Lam.
295,104972,Geraniaceae,Geranium,Geranium dissectum L.
296,104977,Rosaceae,Rosa,Rosa agrestis Savi
297,104978,Scrophulariaceae,Verbascum,Verbascum blattaria L.
298,10499,Scrophulariaceae,Verbascum,Verbascum nigrum L.
299,104998,Amaryllidaceae,Narcissus,Narcissus dubius Gouan
300,10500,Campanulaceae,Campanula,Campanula persicifolia L.
301,105027,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.
302,105044,Orchidaceae,Ophrys,Ophrys apifera Huds.
303,105047,Oleaceae,Jasminum,Jasminum fruticans L.
304,10506,Orchidaceae,Ophrys,Ophrys arachnitiformis Gren. & M.Philippe
305,105073,Scrophulariaceae,Verbascum,Verbascum blattaria L.
306,105101,Liliaceae,Tulipa,Tulipa sylvestris L.
307,105111,Scrophulariaceae,Verbascum,Verbascum nigrum L.
308,105127,Rosaceae,Crataegus,Crataegus monogyna Jacq.
309,105128,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze
310,10515,Geraniaceae,Geranium,Geranium rotundifolium L.
311,105161,Scrophulariaceae,Verbascum,Verbascum thapsus L.
312,105163,Geraniaceae,Geranium,Geranium robertianum L.
313,10517,Rosaceae,Crataegus,Crataegus monogyna Jacq.
314,105172,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.
315,105182,Rosaceae,Crataegus,Crataegus monogyna Jacq.
316,10519,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.
317,105190,Orchidaceae,Ophrys,Ophrys scolopax Cav.
318,105240,Rosaceae,Crataegus,Crataegus monogyna Jacq.
319,105242,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.
320,105245,Orchidaceae,Ophrys,Ophrys apifera Huds.
321,105259,Rosaceae,Crataegus,Crataegus azarolus L.
322,105272,Scrophulariaceae,Verbascum,Verbascum thapsus L.
323,105289,Campanulaceae,Campanula,Campanula glomerata L.
324,105298,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.
325,105373,Campanulaceae,Campanula,Campanula persicifolia L.
326,105400,Scrophulariaceae,Verbascum,Verbascum nigrum L.
327,105433,Orchidaceae,Ophrys,Ophrys scolopax Cav.
328,105454,Hydrangeaceae,Hydrangea,Hydrangea macrophylla (Thunb.) Ser.
329,105463,Rosaceae,Crataegus,Crataegus monogyna Jacq.
330,105493,Orchidaceae,Ophrys,Ophrys bertolonii Moretti
331,105502,Scrophulariaceae,Verbascum,Verbascum blattaria L.
332,105505,Orchidaceae,Ophrys,Ophrys scolopax Cav.
333,105537,Iridaceae,Iris,Iris pseudacorus L.
334,105540,Ericaceae,Rhododendron,Rhododendron ferrugineum L.
335,105546,Scrophulariaceae,Verbascum,Verbascum lychnitis L.
336,105629,Geraniaceae,Geranium,Geranium columbinum L.
337,105639,Orchidaceae,Ophrys,Ophrys insectifera L.
338,10566,Amaryllidaceae,Galanthus,Galanthus nivalis L.
339,105671,Rosaceae,Rosa,Rosa canina L.
340,105693,Lamiaceae,Lavandula,Lavandula stoechas L.
341,105703,Scrophulariaceae,Verbascum,Verbascum nigrum L.
342,105712,Geraniaceae,Geranium,Geranium sylvaticum L.
343,105728,Scrophulariaceae,Verbascum,Verbascum nigrum L.
344,10573,Rosaceae,Crataegus,Crataegus monogyna Jacq.
345,105750,Liliaceae,Tulipa,Tulipa sylvestris L.
346,105756,Scrophulariaceae,Verbascum,Verbascum lychnitis L.
347,105770,Rosaceae,Crataegus,Crataegus azarolus L.
348,105784,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.
349,105803,Orchidaceae,Ophrys,Ophrys apifera Huds.
350,105805,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.
351,105826,Campanulaceae,Campanula,Campanula scheuchzeri Vill.
352,105833,Orchidaceae,Ophrys,Ophrys apifera Huds.
353,105844,Geraniaceae,Geranium,Geranium nodosum L.
354,105876,Geraniaceae,Geranium,Geranium robertianum L.
355,10589,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze
356,105893,Scrophulariaceae,Verbascum,Verbascum boerhavii L.
357,105901,Geraniaceae,Geranium,Geranium rotundifolium L.
358,105934,Liliaceae,Tulipa,Tulipa sylvestris L.
359,105944,Orchidaceae,Ophrys,Ophrys passionis Sennen
360,105959,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.
361,105962,Geraniaceae,Geranium,Geranium rotundifolium L.
362,105985,Rosaceae,Crataegus,Crataegus monogyna Jacq.
363,105999,Amaryllidaceae,Narcissus,Narcissus dubius Gouan
364,10612,Oleaceae,Jasminum,Jasminum fruticans L.
365,106131,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.
366,106145,Scrophulariaceae,Verbascum,Verbascum sinuatum L.
367,106150,Iridaceae,Iris,Iris lutescens Lam.
368,106153,Ericaceae,Rhododendron,Rhododendron ferrugineum L.
369,106166,Campanulaceae,Campanula,Campanula trachelium L.
370,106181,Geraniaceae,Geranium,Geranium columbinum L.
371,106189,Scrophulariaceae,Verbascum,Verbascum nigrum L.
372,106193,Rosaceae,Crataegus,Crataegus monogyna Jacq.
373,106222,Campanulaceae,Campanula,Campanula rapunculus L.
374,10623,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour
375,106236,Campanulaceae,Campanula,Campanula scheuchzeri Vill.
376,106254,Orchidaceae,Ophrys,Ophrys passionis Sennen
377,106280,Amaryllidaceae,Narcissus,Narcissus dubius Gouan
378,106287,Rosaceae,Crataegus,Crataegus monogyna Jacq.
379,106304,Orchidaceae,Ophrys,Ophrys lutea Cav.
380,106306,Rosaceae,Crataegus,Crataegus monogyna Jacq.
381,10632,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze
382,106331,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.
383,10634,Scrophulariaceae,Verbascum,Verbascum thapsus L.
384,106396,Orchidaceae,Ophrys,Ophrys aranifera Huds.
385,106422,Geraniaceae,Geranium,Geranium robertianum L.
386,106451,Amaryllidaceae,Narcissus,Narcissus tazetta L.
387,106469,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.
388,106493,Rosaceae,Rosa,Rosa pendulina L.
389,106518,Orchidaceae,Ophrys,Ophrys scolopax Cav.
390,106535,Rosaceae,Crataegus,Crataegus monogyna Jacq.
391,106597,Campanulaceae,Campanula,Campanula glomerata L.
392,106612,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze
393,106624,Campanulaceae,Campanula,Campanula rhomboidalis L.
394,106641,Geraniaceae,Geranium,Geranium columbinum L.
395,106643,Geraniaceae,Geranium,Geranium molle L.
396,106647,Geraniaceae,Geranium,Geranium dissectum L.
397,106670,Rosaceae,Crataegus,Crataegus monogyna Jacq.
398,10668,Campanulaceae,Campanula,Campanula rotundifolia L.
399,106692,Geraniaceae,Geranium,Geranium rotundifolium L.
400,106720,Geraniaceae,Geranium,Geranium dissectum L.
401,106752,Rosaceae,Crataegus,Crataegus monogyna Jacq.
402,10677,Orchidaceae,Ophrys,Ophrys aranifera Huds.
403,106789,Iridaceae,Iris,Iris pseudacorus L.
404,106794,Geraniaceae,Geranium,Geranium nodosum L.
405,106795,Rosaceae,Crataegus,Crataegus monogyna Jacq.
406,106828,Campanulaceae,Campanula,Campanula rotundifolia L.
407,106843,Fabaceae,Wisteria,Wisteria sinensis (Sims) Sweet
408,106853,Geraniaceae,Geranium,Geranium rotundifolium L.
409,106857,Liliaceae,Tulipa,Tulipa sylvestris L.
410,106893,Orchidaceae,Ophrys,Ophrys virescens Philippe
411,106895,Scrophulariaceae,Verbascum,Verbascum lychnitis L.
412,106952,Orchidaceae,Ophrys,Ophrys apifera Huds.
413,106965,Geraniaceae,Geranium,Geranium columbinum L.
414,106979,Rosaceae,Crataegus,Crataegus monogyna Jacq.
415,10699,Amaryllidaceae,Narcissus,Narcissus dubius Gouan
416,106993,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.
417,10704,Rosaceae,Crataegus,Crataegus monogyna Jacq.
418,107043,Orchidaceae,Ophrys,Ophrys scolopax Cav.
419,107045,Geraniaceae,Geranium,Geranium molle L.
420,107087,Rosaceae,Crataegus,Crataegus monogyna Jacq.
421,107134,Orchidaceae,Ophrys,Ophrys lutea Cav.
422,107148,Ericaceae,Rhododendron,Rhododendron ferrugineum L.
423,107162,Rosaceae,Crataegus,Crataegus monogyna Jacq.
424,107172,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.
425,10718,Geraniaceae,Geranium,Geranium robertianum L.
426,107206,Amaryllidaceae,Narcissus,Narcissus dubius Gouan
427,107219,Orchidaceae,Ophrys,Ophrys aranifera Huds.
428,107221,Campanulaceae,Campanula,Campanula glomerata L.
