,id,family,genus,species,content,filename,image_height,image_width
56,100902,Geraniaceae,Geranium,Geranium robertianum L.,Flower,100902.jpg,751,800
57,100906,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower,100906.jpg,800,534
58,100921,Campanulaceae,Campanula,Campanula scheuchzeri Vill.,Entire,100921.jpg,451,800
59,100931,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.,Flower,100931.jpg,600,800
60,100934,Geraniaceae,Geranium,Geranium pratense L.,Leaf,100934.jpg,800,736
61,100945,Oleaceae,Jasminum,Jasminum fruticans L.,Flower,100945.jpg,530,800
62,100964,Amaryllidaceae,Galanthus,Galanthus nivalis L.,Flower,100964.jpg,800,600
63,101044,Rosaceae,Rosa,Rosa pendulina L.,Entire,101044.jpg,800,600
64,101048,Geraniaceae,Geranium,Geranium columbinum L.,Stem,101048.jpg,800,341
65,10105,Rosaceae,Rosa,Rosa canina L.,Flower,10105.jpg,800,800
66,10109,Rosaceae,Rosa,Rosa canina L.,Leaf,10109.jpg,600,800
67,101092,Campanulaceae,Campanula,Campanula rotundifolia L.,Entire,101092.jpg,600,800
68,101143,Ericaceae,Rhododendron,Rhododendron ferrugineum L.,Entire,101143.jpg,531,800
69,101160,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Entire,101160.jpg,800,600
70,101244,Hydrangeaceae,Hydrangea,Hydrangea macrophylla (Thunb.) Ser.,Entire,101244.jpg,600,800
71,101275,Hydrangeaceae,Hydrangea,Hydrangea macrophylla (Thunb.) Ser.,Flower,101275.jpg,751,800
72,101280,Rosaceae,Rosa,Rosa canina L.,Flower,101280.jpg,800,800
73,101343,Geraniaceae,Geranium,Geranium rotundifolium L.,LeafScan,101343.jpg,800,575
74,101360,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.,Flower,101360.jpg,649,800
75,101363,Campanulaceae,Campanula,Campanula scheuchzeri Vill.,Flower,101363.jpg,800,535
76,101365,Rosaceae,Crataegus,Crataegus monogyna Jacq.,LeafScan,101365.jpg,800,524
77,101389,Rosaceae,Rosa,Rosa pendulina L.,Flower,101389.jpg,600,800
78,10139,Iridaceae,Iris,Iris pseudacorus L.,Flower,10139.jpg,800,600
79,101393,Iridaceae,Iris,Iris lutescens Lam.,Flower,101393.jpg,600,800
80,101405,Orchidaceae,Ophrys,Ophrys insectifera L.,Flower,101405.jpg,800,600
81,101420,Orchidaceae,Ophrys,Ophrys lutea Cav.,Flower,101420.jpg,800,530
82,101438,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze,LeafScan,101438.jpg,800,443
83,101448,Rosaceae,Rosa,Rosa canina L.,Leaf,101448.jpg,800,675
84,10147,Campanulaceae,Campanula,Campanula patula L.,Branch,10147.jpg,536,800
85,101490,Rosaceae,Crataegus,Crataegus azarolus L.,Flower,101490.jpg,742,800
86,101503,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Entire,101503.jpg,800,533
87,101514,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.,Flower,101514.jpg,450,800
88,101516,Rosaceae,Rosa,Rosa agrestis Savi,Flower,101516.jpg,562,800
89,10152,Rosaceae,Crataegus,Crataegus azarolus L.,Leaf,10152.jpg,800,600
90,101521,Geraniaceae,Geranium,Geranium robertianum L.,Leaf,101521.jpg,751,800
91,101523,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.,Flower,101523.jpg,600,800
92,101544,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.,Flower,101544.jpg,577,800
93,10155,Geraniaceae,Geranium,Geranium molle L.,Flower,10155.jpg,600,800
94,101565,Geraniaceae,Geranium,Geranium robertianum L.,Flower,101565.jpg,600,800
95,101593,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze,LeafScan,101593.jpg,800,415
96,101594,Scrophulariaceae,Verbascum,Verbascum sinuatum L.,Flower,101594.jpg,583,800
97,101617,Campanulaceae,Campanula,Campanula trachelium L.,Leaf,101617.jpg,528,800
98,101638,Campanulaceae,Campanula,Campanula glomerata L.,Entire,101638.jpg,800,600
99,101663,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze,Fruit,101663.jpg,634,800
100,101678,Scrophulariaceae,Verbascum,Verbascum blattaria L.,LeafScan,101678.jpg,800,419
101,101718,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower,101718.jpg,800,608
102,101725,Campanulaceae,Campanula,Campanula scheuchzeri Vill.,Entire,101725.jpg,800,800
103,101739,Geraniaceae,Geranium,Geranium pratense L.,Flower,101739.jpg,800,767
104,101749,Geraniaceae,Geranium,Geranium molle L.,Fruit,101749.jpg,800,680
105,101750,Geraniaceae,Geranium,Geranium nodosum L.,Stem,101750.jpg,601,800
106,101777,Geraniaceae,Geranium,Geranium sylvaticum L.,Flower,101777.jpg,600,800
107,101778,Oleaceae,Jasminum,Jasminum fruticans L.,Fruit,101778.jpg,800,600
108,101794,Rosaceae,Rosa,Rosa canina L.,Stem,101794.jpg,529,800
109,101795,Fabaceae,Wisteria,Wisteria sinensis (Sims) Sweet,Flower,101795.jpg,800,800
110,101804,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower,101804.jpg,800,676
111,101808,Hydrangeaceae,Hydrangea,Hydrangea macrophylla (Thunb.) Ser.,Branch,101808.jpg,535,800
112,101831,Campanulaceae,Campanula,Campanula latifolia L.,Flower,101831.jpg,797,800
113,101836,Liliaceae,Tulipa,Tulipa sylvestris L.,Entire,101836.jpg,800,773
114,101839,Rosaceae,Rosa,Rosa canina L.,Leaf,101839.jpg,533,800
115,101848,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Entire,101848.jpg,800,600
116,101924,Liliaceae,Tulipa,Tulipa sylvestris L.,Flower,101924.jpg,600,800
117,101952,Iridaceae,Iris,Iris lutescens Lam.,Flower,101952.jpg,751,800
118,101975,Geraniaceae,Geranium,Geranium robertianum L.,Entire,101975.jpg,600,800
119,101987,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Entire,101987.jpg,719,800
120,101989,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,101989.jpg,600,800
121,102025,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Leaf,102025.jpg,450,800
122,102053,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.,Flower,102053.jpg,530,800
123,102062,Rosaceae,Rosa,Rosa pendulina L.,Flower,102062.jpg,800,800
124,102076,Rosaceae,Rosa,Rosa pendulina L.,Flower,102076.jpg,600,800
125,10210,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Leaf,10210.jpg,800,533
126,102155,Rosaceae,Rosa,Rosa canina L.,Flower,102155.jpg,800,800
127,102169,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Flower,102169.jpg,600,800
128,102170,Geraniaceae,Geranium,Geranium rotundifolium L.,Branch,102170.jpg,800,600
129,102171,Geraniaceae,Geranium,Geranium nodosum L.,Flower,102171.jpg,532,800
130,102178,Scrophulariaceae,Verbascum,Verbascum lychnitis L.,Leaf,102178.jpg,532,800
131,10220,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Entire,10220.jpg,800,535
132,102261,Campanulaceae,Campanula,Campanula trachelium L.,Leaf,102261.jpg,800,600
133,102273,Geraniaceae,Geranium,Geranium phaeum L.,Branch,102273.jpg,800,535
134,102274,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Leaf,102274.jpg,800,600
135,102283,Orchidaceae,Ophrys,Ophrys passionis Sennen,Flower,102283.jpg,800,600
136,102284,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.,Leaf,102284.jpg,800,600
137,102333,Orchidaceae,Ophrys,Ophrys insectifera L.,Stem,102333.jpg,800,533
138,102368,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze,Leaf,102368.jpg,600,800
139,102377,Orchidaceae,Ophrys,Ophrys speculum Link,Branch,102377.jpg,800,535
140,102379,Campanulaceae,Campanula,Campanula rapunculus L.,Flower,102379.jpg,800,600
141,102387,Hydrangeaceae,Hydrangea,Hydrangea macrophylla (Thunb.) Ser.,Flower,102387.jpg,751,800
142,102395,Geraniaceae,Geranium,Geranium sylvaticum L.,LeafScan,102395.jpg,800,443
143,10241,Fabaceae,Wisteria,Wisteria sinensis (Sims) Sweet,Branch,10241.jpg,751,800
144,102432,Geraniaceae,Geranium,Geranium phaeum L.,Entire,102432.jpg,615,800
145,102457,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower,102457.jpg,638,800
146,102473,Rosaceae,Crataegus,Crataegus monogyna Jacq.,LeafScan,102473.jpg,800,534
147,102475,Campanulaceae,Campanula,Campanula rotundifolia L.,Entire,102475.jpg,800,663
148,102505,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.,Stem,102505.jpg,800,601
149,102528,Campanulaceae,Campanula,Campanula patula L.,Flower,102528.jpg,800,800
150,102543,Rosaceae,Rosa,Rosa spinosissima L.,Flower,102543.jpg,800,600
151,102580,Geraniaceae,Geranium,Geranium phaeum L.,Fruit,102580.jpg,800,531
152,102583,Campanulaceae,Campanula,Campanula scheuchzeri Vill.,Entire,102583.jpg,800,533
153,102584,Geraniaceae,Geranium,Geranium robertianum L.,Entire,102584.jpg,600,800
154,102599,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower,102599.jpg,800,721
155,102610,Geraniaceae,Geranium,Geranium molle L.,Entire,102610.jpg,532,800
156,10272,Scrophulariaceae,Verbascum,Verbascum lychnitis L.,Entire,10272.jpg,800,535
157,102750,Geraniaceae,Geranium,Geranium dissectum L.,Entire,102750.jpg,600,800
158,102760,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,102760.jpg,530,800
159,102765,Ericaceae,Rhododendron,Rhododendron ferrugineum L.,Flower,102765.jpg,532,800
160,102811,Orchidaceae,Ophrys,Ophrys speculum Link,Flower,102811.jpg,800,535
161,10282,Rosaceae,Crataegus,Crataegus azarolus L.,LeafScan,10282.jpg,800,582
162,102923,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower,102923.jpg,600,800
163,102966,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Stem,102966.jpg,800,532
164,103019,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Entire,103019.jpg,800,533
165,103022,Geraniaceae,Geranium,Geranium molle L.,Flower,103022.jpg,800,600
166,103029,Geraniaceae,Geranium,Geranium rotundifolium L.,Flower,103029.jpg,800,540
167,103032,Scrophulariaceae,Verbascum,Verbascum boerhavii L.,Entire,103032.jpg,800,600
168,10304,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Leaf,10304.jpg,600,800
169,103058,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Entire,103058.jpg,800,531
170,103098,Geraniaceae,Geranium,Geranium robertianum L.,Flower,103098.jpg,449,800
171,103102,Geraniaceae,Geranium,Geranium molle L.,Flower,103102.jpg,533,800
172,103111,Orchidaceae,Ophrys,Ophrys insectifera L.,Entire,103111.jpg,800,530
173,103126,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Entire,103126.jpg,751,800
174,103136,Scrophulariaceae,Verbascum,Verbascum blattaria L.,Entire,103136.jpg,600,800
175,103146,Ericaceae,Rhododendron,Rhododendron ferrugineum L.,Entire,103146.jpg,600,800
176,103153,Oleaceae,Jasminum,Jasminum fruticans L.,Fruit,103153.jpg,535,800
177,103171,Geraniaceae,Geranium,Geranium columbinum L.,Flower,103171.jpg,600,800
178,103183,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Entire,103183.jpg,600,800
179,103217,Iridaceae,Iris,Iris lutescens Lam.,Flower,103217.jpg,800,511
180,10323,Geraniaceae,Geranium,Geranium nodosum L.,Flower,10323.jpg,600,800
181,103234,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Branch,103234.jpg,600,800
182,103236,Fabaceae,Wisteria,Wisteria sinensis (Sims) Sweet,LeafScan,103236.jpg,800,800
183,103256,Campanulaceae,Campanula,Campanula trachelium L.,Flower,103256.jpg,800,533
184,103276,Rosaceae,Rosa,Rosa pendulina L.,Branch,103276.jpg,533,800
185,103312,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower,103312.jpg,616,800
186,103313,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Entire,103313.jpg,800,535
187,103324,Geraniaceae,Geranium,Geranium sylvaticum L.,LeafScan,103324.jpg,785,800
188,103342,Scrophulariaceae,Verbascum,Verbascum boerhavii L.,Flower,103342.jpg,600,800
189,103357,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower,103357.jpg,533,800
190,103375,Campanulaceae,Campanula,Campanula trachelium L.,Flower,103375.jpg,600,800
191,103395,Orchidaceae,Ophrys,Ophrys bertolonii Moretti,Flower,103395.jpg,800,634
192,103436,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.,LeafScan,103436.jpg,800,600
193,103458,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower,103458.jpg,510,800
194,103459,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower,103459.jpg,600,800
195,103488,Campanulaceae,Campanula,Campanula medium L.,Flower,103488.jpg,800,764
196,103492,Scrophulariaceae,Verbascum,Verbascum lychnitis L.,Entire,103492.jpg,800,437
197,103526,Geraniaceae,Geranium,Geranium sanguineum L.,Flower,103526.jpg,600,800
198,103532,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.,Flower,103532.jpg,600,800
199,103539,Rosaceae,Rosa,Rosa pendulina L.,Stem,103539.jpg,514,800
200,103563,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Entire,103563.jpg,800,600
201,103571,Geraniaceae,Geranium,Geranium robertianum L.,Leaf,103571.jpg,751,800
202,10358,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower,10358.jpg,800,600
203,103585,Orchidaceae,Ophrys,Ophrys speculum Link,Flower,103585.jpg,800,535
204,103597,Rosaceae,Crataegus,Crataegus azarolus L.,LeafScan,103597.jpg,800,580
205,103621,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower,103621.jpg,621,800
206,103632,Geraniaceae,Geranium,Geranium robertianum L.,Branch,103632.jpg,800,600
207,10364,Orchidaceae,Ophrys,Ophrys lutea Cav.,Entire,10364.jpg,800,600
208,103650,Rosaceae,Crataegus,Crataegus azarolus L.,LeafScan,103650.jpg,571,800
209,103654,Rosaceae,Crataegus,Crataegus monogyna Jacq.,LeafScan,103654.jpg,800,574
210,103664,Geraniaceae,Geranium,Geranium lucidum L.,Branch,103664.jpg,800,600
211,103699,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.,Flower,103699.jpg,800,785
212,103700,Scrophulariaceae,Verbascum,Verbascum sinuatum L.,Entire,103700.jpg,800,552
213,103716,Scrophulariaceae,Verbascum,Verbascum boerhavii L.,Entire,103716.jpg,800,500
214,103721,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze,Stem,103721.jpg,800,600
215,103741,Campanulaceae,Campanula,Campanula rhomboidalis L.,Flower,103741.jpg,800,600
216,103764,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Flower,103764.jpg,800,578
217,103765,Hydrangeaceae,Hydrangea,Hydrangea macrophylla (Thunb.) Ser.,Flower,103765.jpg,751,800
218,103781,Iridaceae,Iris,Iris lutescens Lam.,Entire,103781.jpg,800,600
219,103792,Scrophulariaceae,Verbascum,Verbascum blattaria L.,Entire,103792.jpg,600,800
220,103805,Campanulaceae,Campanula,Campanula glomerata L.,Flower,103805.jpg,600,800
221,103818,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Flower,103818.jpg,800,530
222,103827,Scrophulariaceae,Verbascum,Verbascum blattaria L.,Fruit,103827.jpg,533,800
223,103845,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Branch,103845.jpg,533,800
224,103897,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Flower,103897.jpg,533,800
225,103917,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower,103917.jpg,600,800
226,103928,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Entire,103928.jpg,800,420
227,103950,Amaryllidaceae,Galanthus,Galanthus nivalis L.,Flower,103950.jpg,751,800
228,103951,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower,103951.jpg,600,800
229,103965,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Flower,103965.jpg,600,800
230,10397,Iridaceae,Iris,Iris lutescens Lam.,Entire,10397.jpg,600,800
231,103992,Geraniaceae,Geranium,Geranium molle L.,Flower,103992.jpg,600,800
232,104019,Campanulaceae,Campanula,Campanula persicifolia L.,Flower,104019.jpg,698,800
233,104026,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Branch,104026.jpg,532,800
234,104046,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.,Entire,104046.jpg,600,800
235,104050,Orchidaceae,Ophrys,Ophrys insectifera L.,Flower,104050.jpg,800,536
236,10407,Orchidaceae,Ophrys,Ophrys arachnitiformis Gren. & M.Philippe,Entire,10407.jpg,533,800
237,104073,Geraniaceae,Geranium,Geranium molle L.,Branch,104073.jpg,800,533
238,10408,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.,Fruit,10408.jpg,601,800
239,104134,Orchidaceae,Ophrys,Ophrys virescens Philippe,Entire,104134.jpg,800,600
240,104157,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,104157.jpg,450,800
241,104161,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.,Flower,104161.jpg,800,761
242,104176,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower,104176.jpg,800,600
243,104194,Campanulaceae,Campanula,Campanula medium L.,Flower,104194.jpg,567,800
244,104220,Scrophulariaceae,Verbascum,Verbascum blattaria L.,Flower,104220.jpg,757,800
245,104224,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.,Flower,104224.jpg,532,800
246,104242,Campanulaceae,Campanula,Campanula rapunculus L.,Entire,104242.jpg,800,600
247,104262,Orchidaceae,Ophrys,Ophrys bertolonii Moretti,Flower,104262.jpg,800,668
248,104269,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.,Flower,104269.jpg,711,800
249,104273,Orchidaceae,Ophrys,Ophrys lutea Cav.,Flower,104273.jpg,600,800
250,104282,Campanulaceae,Campanula,Campanula rapunculus L.,Flower,104282.jpg,800,800
251,104283,Orchidaceae,Ophrys,Ophrys aranifera Huds.,Entire,104283.jpg,800,600
252,104293,Campanulaceae,Campanula,Campanula glomerata L.,Flower,104293.jpg,600,800
253,104300,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower,104300.jpg,600,800
254,104301,Geraniaceae,Geranium,Geranium robertianum L.,Leaf,104301.jpg,798,800
255,104309,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze,LeafScan,104309.jpg,800,368
256,104319,Geraniaceae,Geranium,Geranium molle L.,Entire,104319.jpg,751,800
257,104359,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Entire,104359.jpg,800,600
258,104383,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.,Branch,104383.jpg,800,535
259,104384,Orchidaceae,Ophrys,Ophrys lutea Cav.,Flower,104384.jpg,600,800
260,10439,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze,Stem,10439.jpg,800,570
261,104459,Rosaceae,Rosa,Rosa canina L.,Fruit,104459.jpg,600,800
262,104464,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.,Flower,104464.jpg,800,561
263,10448,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.,Flower,10448.jpg,600,800
264,104489,Geraniaceae,Geranium,Geranium columbinum L.,Entire,104489.jpg,800,748
265,104511,Orchidaceae,Ophrys,Ophrys passionis Sennen,Flower,104511.jpg,800,601
266,104522,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Branch,104522.jpg,800,532
267,104535,Geraniaceae,Geranium,Geranium robertianum L.,Fruit,104535.jpg,800,800
268,104538,Liliaceae,Tulipa,Tulipa sylvestris L.,Entire,104538.jpg,600,800
269,104567,Campanulaceae,Campanula,Campanula patula L.,Flower,104567.jpg,800,530
270,104571,Geraniaceae,Geranium,Geranium robertianum L.,Entire,104571.jpg,532,800
271,104577,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,104577.jpg,530,800
272,104585,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.,Branch,104585.jpg,800,679
273,10459,Geraniaceae,Geranium,Geranium rotundifolium L.,Entire,10459.jpg,800,531
274,104615,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze,LeafScan,104615.jpg,800,448
275,104623,Geraniaceae,Geranium,Geranium molle L.,Flower,104623.jpg,533,800
276,104634,Ericaceae,Rhododendron,Rhododendron ferrugineum L.,Entire,104634.jpg,600,800
277,10464,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Entire,10464.jpg,800,233
278,104657,Geraniaceae,Geranium,Geranium pyrenaicum Burm.f.,Branch,104657.jpg,600,800
279,104672,Geraniaceae,Geranium,Geranium sylvaticum L.,Flower,104672.jpg,800,531
280,104675,Ericaceae,Rhododendron,Rhododendron ferrugineum L.,Branch,104675.jpg,532,800
281,104745,Scrophulariaceae,Verbascum,Verbascum nigrum L.,Flower,104745.jpg,800,374
282,104758,Geraniaceae,Geranium,Geranium nodosum L.,Flower,104758.jpg,800,778
283,104778,Campanulaceae,Campanula,Campanula scheuchzeri Vill.,Entire,104778.jpg,600,800
284,104780,Campanulaceae,Campanula,Campanula glomerata L.,Flower,104780.jpg,800,555
285,104784,Geraniaceae,Geranium,Geranium columbinum L.,Entire,104784.jpg,600,800
286,104794,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Flower,104794.jpg,600,800
287,104800,Geraniaceae,Geranium,Geranium robertianum L.,Flower,104800.jpg,600,800
288,104808,Rosaceae,Rosa,Rosa canina L.,Stem,104808.jpg,800,502
289,104818,Orchidaceae,Ophrys,Ophrys speculum Link,Flower,104818.jpg,686,800
290,10483,Rosaceae,Crataegus,Crataegus azarolus L.,Leaf,10483.jpg,600,800
291,104857,Iridaceae,Iris,Iris foetidissima L.,Flower,104857.jpg,598,800
